epoch,matthews_corrcoef,confusion_matrix,f1_score,accuracy_score,loss
1,0.40637967074865283,"[[61949 20163]
 [ 4176 12787]]",0.5123715264560336,0.754337623012869,0.18005431074311495
2,0.4226069619366411,"[[62120 19992]
 [ 3857 13106]]",0.5236012065280358,0.7592833711834469,0.159870034366254
3,0.4548705785986913,"[[67166 14946]
 [ 4737 12226]]",0.554027415883086,0.801332323996972,0.14120781054439172
4,0.4655059339283723,"[[68446 13666]
 [ 4955 12008]]",0.5632666463400333,0.8120514761544284,0.1224523205054778
5,0.4628674082361254,"[[67405 14707]
 [ 4641 12322]]",0.5601927623204219,0.8047136008074691,0.10583396811478071
6,0.45642586594507856,"[[67901 14211]
 [ 4961 12002]]",0.5559570131554568,0.8064900328034318,0.09181233360741235
7,0.47330000004799844,"[[70993 11119]
 [ 5762 11201]]",0.5702721278924725,0.8296139288417865,0.08048599194173525
8,0.4724926932439131,"[[71951 10161]
 [ 6176 10787]]",0.5690696631584501,0.8351047186474893,0.07091743568292153
9,0.47391172116173325,"[[71941 10171]
 [ 6141 10822]]",0.5702392243650543,0.8353570527378249,0.06290227534004193
10,0.4646052868109405,"[[70711 11401]
 [ 5839 11124]]",0.5634116693679092,0.8259904113045673,0.05690106883292281
11,0.47422228199618416,"[[73101  9011]
 [ 6638 10325]]",0.5688861952119894,0.8420489528135251,0.05143826141926736
12,0.47250321530677186,"[[73444  8668]
 [ 6829 10134]]",0.5666992870124423,0.8435831440827656,0.04652950420769897
13,0.4641457027905043,"[[72144  9968]
 [ 6438 10525]]",0.5619927381460913,0.834408276558163,0.04277494060938545
14,0.45988906324955636,"[[71778 10334]
 [ 6376 10587]]",0.5589166930630345,0.8313398940196821,0.0395998535618437
15,0.46396824675780207,"[[71783 10329]
 [ 6290 10673]]",0.5622547082839457,0.8322583901085037,0.036259195990576386
16,0.4640909715135598,"[[71563 10549]
 [ 6196 10767]]",0.5625538807178871,0.8309866262932122,0.033827874895772936
17,0.46435439613391627,"[[71858 10254]
 [ 6313 10650]]",0.5624950484590805,0.8327832450164017,0.031133064792550968
18,0.4680692421926348,"[[73589  8523]
 [ 6989  9974]]",0.5625493513818387,0.8434317436285642,0.02915224119218837
19,0.45979869106426136,"[[73053  9059]
 [ 6924 10039]]",0.5567787914921938,0.8386777693666414,0.027368998402615592
20,0.47645237787951733,"[[74180  7932]
 [ 7086  9877]]",0.5681007707350743,0.8484178652535957,0.026213072129036476
21,0.46247212245076036,"[[72009 10103]
 [ 6417 10546]]",0.5607784749548016,0.8332576331062327,0.024646191359578108
22,0.45722166270528647,"[[72199  9913]
 [ 6610 10353]]",0.5561793225711139,0.8332273530153924,0.023174822181769857
23,0.46288613307743337,"[[73515  8597]
 [ 7065  9898]]",0.5582943200406114,0.8419177390865505,0.021973411455233606
24,0.4687497639737209,"[[74218  7894]
 [ 7266  9697]]",0.5612664235689065,0.8469846076204895,0.021623128236815902
25,0.4810773018902067,"[[74982  7130]
 [ 7377  9586]]",0.5692568069123192,0.8535755740600555,0.02111946524614268
26,0.46724943586323403,"[[73394  8718]
 [ 6918 10045]]",0.5623355539383081,0.8421801665404997,0.01984935018882473
27,0.46892111291184685,"[[72981  9131]
 [ 6698 10265]]",0.5646469924915427,0.8402321473631088,0.019038225121759567
28,0.47092451125021734,"[[73194  8918]
 [ 6750 10213]]",0.5659112317836761,0.84185717890487,0.018632263469703092
29,0.48319489845212027,"[[75107  7005]
 [ 7395  9568]]",0.5706106870229007,0.8546555639666918,0.018257418526905038
30,0.47715489565854435,"[[73628  8484]
 [ 6814 10149]]",0.5702326104056635,0.845591723441837,0.017649557044809434
31,0.4652891754463207,"[[71089 11023]
 [ 5976 10987]]",0.5638262386780591,0.8284229119354025,0.016958875949086228
32,0.4645031109451785,"[[73735  8377]
 [ 7131  9832]]",0.5590810872284773,0.843472117083018,0.01669408059813617
33,0.46887277532014204,"[[71227 10885]
 [ 5954 11009]]",0.5666417891242247,0.8300378501135504,0.01626791284141156
34,0.4740396310359008,"[[73273  8839]
 [ 6719 10244]]",0.5683848415913,0.8429674489023468,0.015720076181050948
35,0.4756084123942396,"[[73497  8615]
 [ 6787 10176]]",0.5692230239973151,0.8445420136260409,0.014906704023294207
36,0.47531486350587504,"[[73514  8598]
 [ 6801 10162]]",0.5689331803040059,0.8445722937168811,0.0144875116989527
37,0.4726897332810806,"[[72842  9270]
 [ 6556 10407]]",0.5680676855895197,0.8402624274539491,0.014632858692307512
38,0.4701103495242479,"[[72465  9647]
 [ 6447 10516]]",0.56650325917147,0.8375574060055514,0.014337102663576198
39,0.4745459696580497,"[[74101  8011]
 [ 7089  9874]]",0.5666896235078053,0.847590209437295,0.014155086432642263
40,0.4758601364637922,"[[73822  8290]
 [ 6931 10032]]",0.5686268952812811,0.8463689124400706,0.014286790494226246
41,0.46844200851271567,"[[72985  9127]
 [ 6710 10253]]",0.5642352034779737,0.8401514004542013,0.01303336451577284
42,0.47379297034209855,"[[73478  8634]
 [ 6817 10146]]",0.5677195534790028,0.8440474388089831,0.013103651676019902
43,0.4791897132510554,"[[74778  7334]
 [ 7316  9647]]",0.5684067876502474,0.8521322230633358,0.013384768287595671
44,0.4745577610483992,"[[74628  7484]
 [ 7340  9623]]",0.5648958027590256,0.8503759777946001,0.012908076578006354
45,0.4736224061023503,"[[73767  8345]
 [ 6953 10010]]",0.5668497649923551,0.845591723441837,0.0127208611429582
46,0.48419477547713524,"[[73938  8174]
 [ 6808 10155]]",0.5754845290717443,0.848781226343679,0.01280997873968401
47,0.48400356636552017,"[[75392  6720]
 [ 7522  9441]]",0.5700398502596306,0.8562503154176129,0.01298225609473326
48,0.4697427752006408,"[[73160  8952]
 [ 6760 10203]]",0.564981449692674,0.8414130709058794,0.012381272594814243
49,0.4805516314225041,"[[73722  8390]
 [ 6785 10178]]",0.5729081647012468,0.8468332071662882,0.011560327919019309
50,0.46650045121056,"[[72660  9452]
 [ 6609 10354]]",0.563191819195518,0.8378904870047943,0.011536511348868584
51,0.4867471608904084,"[[75357  6755]
 [ 7447  9516]]",0.5726665463079977,0.8566540499621499,0.011695106365118765
52,0.48657069764744637,"[[74950  7162]
 [ 7246  9717]]",0.574256840612257,0.8545748170577845,0.011376722822903376
53,0.4792907467749806,"[[73616  8496]
 [ 6763 10200]]",0.572085588490984,0.8459853646227605,0.01157486212249483
54,0.4745523832672106,"[[73801  8311]
 [ 6949 10014]]",0.5675583767853094,0.8459752712591471,0.011191839931497131
55,0.48374488332957355,"[[75084  7028]
 [ 7372  9591]]",0.5711988565302841,0.8546555639666918,0.011338001922845082
56,0.4761366279278846,"[[73537  8575]
 [ 6794 10169]]",0.5695801943596493,0.8448750946252839,0.010417302612638922
57,0.46177872470353837,"[[72222  9890]
 [ 6522 10441]]",0.5599292111331581,0.8343477163764824,0.010585364596808021
58,0.4743653848534141,"[[73244  8868]
 [ 6699 10264]]",0.568721429560881,0.8428766086298259,0.010557477313147356
59,0.48161885902017854,"[[74231  7881]
 [ 7001  9962]]",0.5724300407975638,0.8497905627050214,0.010517851226063291
60,0.46569035046731344,"[[73641  8471]
 [ 7063  9900]]",0.5603667855323484,0.8432096896290688,0.01027033926403123
61,0.47200724961127755,"[[74008  8104]
 [ 7099  9864]]",0.5647705476510835,0.8465505929851123,0.010964432075205078
62,0.4785424522992692,"[[74252  7860]
 [ 7076  9887]]",0.5696917314894844,0.8492455210698966,0.010296118996158494
63,0.47255856319699235,"[[72692  9420]
 [ 6493 10470]]",0.5682034027080564,0.8393843048195812,0.010111510443981035
64,0.4783672554472912,"[[73994  8118]
 [ 6958 10005]]",0.5703129453343214,0.8478324501640172,0.010251256248365925
65,0.4823804578194712,"[[74924  7188]
 [ 7321  9642]]",0.5706507264818157,0.8535553873328287,0.01014224437614866
66,0.4800080222028547,"[[74386  7726]
 [ 7109  9854]]",0.5705352748747937,0.8502649507948524,0.010432167032249454
67,0.48333962969976535,"[[75137  6975]
 [ 7407  9556]]",0.5706096614318982,0.8548372445117335,0.009569442892039426
68,0.4752207624159304,"[[74273  7839]
 [ 7156  9807]]",0.5667311970874628,0.8486500126167045,0.010277610806292864
69,0.4753027555278274,"[[75090  7022]
 [ 7551  9412]]",0.5636434410276373,0.8529094120615696,0.009421619634647976
70,0.4724382955356021,"[[74132  7980]
 [ 7148  9815]]",0.5647620691639335,0.8473075952561191,0.009932621481762728
71,0.4840330255264013,"[[74593  7519]
 [ 7124  9839]]",0.5733515923195711,0.8522028766086298,0.009555646838421469
72,0.48050576960584984,"[[74822  7290]
 [ 7310  9653]]",0.5693977467114966,0.8526368912440071,0.009931579258385066
73,0.48258598824515686,"[[75239  6873]
 [ 7474  9489]]",0.5694823705926481,0.8551905122382034,0.009229903353052009
74,0.4745067328295363,"[[74146  7966]
 [ 7111  9852]]",0.5665162013743136,0.8478223568004037,0.009360143620989454
75,0.4714182160696065,"[[74412  7700]
 [ 7302  9661]]",0.5629297284698753,0.8485793590714106,0.010057318842612932
76,0.47439615495144366,"[[73163  8949]
 [ 6662 10301]]",0.5689117167867893,0.8424325006308352,0.009978164215512966
77,0.4781571438441514,"[[74218  7894]
 [ 7068  9895]]",0.5694636279926335,0.8489830936159475,0.00942934253355593
78,0.4722961497909278,"[[72442  9670]
 [ 6390 10573]]",0.5683491909907004,0.8379005803684078,0.009010352096535244
79,0.47490963762073457,"[[74496  7616]
 [ 7269  9694]]",0.5656931111954017,0.8497602826141811,0.008618621221677655
80,0.4782829672375733,"[[73896  8216]
 [ 6914 10049]]",0.5705120926535711,0.8472874085288923,0.008957855940132044
81,0.47265717173119287,"[[74309  7803]
 [ 7227  9736]]",0.5643730798214596,0.8482967448902347,0.009047612782590794
82,0.47016513656450626,"[[73513  8599]
 [ 6910 10053]]",0.5645374140109505,0.8434620237194045,0.009059048599146465
83,0.4750032586980583,"[[73882  8230]
 [ 6977  9986]]",0.5677250632479605,0.8465102195306586,0.00906808900612191
84,0.47787975199124433,"[[74053  8059]
 [ 6996  9967]]",0.5697219126011033,0.8480444107998991,0.009167619037810607
85,0.47357537287660606,"[[74036  8076]
 [ 7079  9884]]",0.5660452996592504,0.8470350744385566,0.009184103955432439
86,0.4766730615832562,"[[73900  8212]
 [ 6950 10013]]",0.5691144708423326,0.8469644208932626,0.009085525119003722
87,0.47819506668915107,"[[73600  8512]
 [ 6779 10184]]",0.5711881993325668,0.845662376987131,0.009209346948656258
88,0.4648511226596017,"[[73236  8876]
 [ 6898 10065]]",0.5606617647058824,0.8407872823618471,0.00883672468170827
89,0.47406118347697146,"[[74028  8084]
 [ 7065  9898]]",0.5664901988839606,0.8470956346202372,0.00922755015803821
90,0.4747288235385185,"[[74287  7825]
 [ 7173  9790]]",0.5662560009254439,0.8486197325258642,0.008538538469565583
91,0.4699520824303499,"[[72763  9349]
 [ 6580 10383]]",0.5659081618749149,0.8392228110017663,0.008982865768056228
92,0.47336147463474443,"[[74401  7711]
 [ 7256  9707]]",0.5646723480992408,0.8489326267978804,0.008532657837084248
93,0.47924333888287723,"[[74550  7562]
 [ 7204  9759]]",0.5693034651732586,0.8509613928841786,0.009020206589439996
94,0.4764763594863414,"[[74502  7610]
 [ 7239  9724]]",0.5670466804676793,0.8501236437042644,0.009196663792854066
95,0.48057464575416536,"[[75356  6756]
 [ 7575  9388]]",0.567130818255958,0.8553520060560181,0.009504644508102443
96,0.47628542045476985,"[[74276  7836]
 [ 7135  9828]]",0.5676495220492679,0.8488922533434267,0.00887209157771933
97,0.4869518172848877,"[[75158  6954]
 [ 7342  9621]]",0.5737372532649532,0.8557052737824881,0.008948810767988443
98,0.47643223683191704,"[[74090  8022]
 [ 7044  9919]]",0.568358927343571,0.8479333838001514,0.00845715733259552
99,0.4804404030337252,"[[75124  6988]
 [ 7461  9502]]",0.5680805906794607,0.8541609891496341,0.008778320765452359
100,0.4838204432352179,"[[74760  7352]
 [ 7210  9753]]",0.5725607608312787,0.8530204390613172,0.007989519975958129
